File Number,Date Reported,Year Reported,Month Reported,Housing Block,Street Name,Date Notice Mailed or Given,Type of Complaint,Disposition,File Close Date,Method Submitted,Submitted Online?,Total Fees,Mapped Location
1305079,05/14/2013,2013,5,900 BLOCK,W Eads St,05/14/2013,Weeds/Grass,Owner Abated,05/22/2013,Not Available,false,0,"900 W Eads St
Urbana, IL
(40.123266898, -88.219545455)"
905055,05/18/2009,2009,5,900 BLOCK,N Gregory St,05/19/2009,Weeds/Grass,Owner Abated,05/27/2009,Not Available,false,0,"900 N Gregory St
Urbana, IL
(40.12010762, -88.221005483)"
18-000476,05/14/2018,2018,5,2000 Block,E Easy Street,05/14/2018,Weeds/Grass,Voluntarily Complied,05/22/2018,City Staff Reported,false,0,"2000 E Easy Street
Urbana, IL
(40.105027287, -88.183069265)"
22-000995,05/04/2022,2022,5,1700 Block,East Briarcliff Drive,05/04/2022,Weeds/Grass,Voluntarily Complied,05/12/2022,Phone,false,0,"1700 East Briarcliff Drive
Urbana, IL
(40.09903389, -88.188584155)"
710010,10/03/2007,2007,10,2100 BLOCK,S Grange Dr,10/04/2007,Municipal Waste,Owner Abated,10/12/2007,Not Available,false,0,"2100 S Grange Dr
Urbana, IL
(40.090872916, -88.207644827)"
503010,03/08/2005,2005,3,700 BLOCK,W Oregon St,,Municipal Waste,Owner Abated,,Not Available,false,0,"700 W Oregon St
Urbana, IL
(40.107629988, -88.216224009)"
22-000986,05/03/2022,2022,5,2100 Block,East Pennsylvania Avenue,05/03/2022,Weeds/Grass,Voluntarily Complied,05/11/2022,Phone,false,0,"2100 East Pennsylvania Avenue
Urbana, IL
(40.10113764, -88.181295518)"
1009011,09/09/2010,2010,9,1100 BLOCK,N Gregory St,09/10/2010,Weeds/Grass,Owner Abated,09/18/2010,Not Available,false,0,"1100 N Gregory St
Urbana, IL
(40.122469059, -88.221487452)"
19-001962,09/12/2019,2019,9,900 Block,South Webber Street,09/12/2019,Weeds/Grass,Voluntarily Complied,09/27/2019,Phone,false,0,"900 South Webber Street
Urbana, IL
(40.105612896, -88.198974843)"
22-001247,05/16/2022,2022,5,400 Block,West High Street,05/16/2022,Weeds/Grass,Voluntarily Complied,05/24/2022,Phone,false,0,"400 West High Street
Urbana, IL
(40.109946217, -88.211826301)"
1606068,06/22/2016,2016,6,100 BLOCK,E Crystal Lake Dr,06/22/2016,Weeds/Grass,Owner Abated,06/30/2016,Not Available,false,0,"100 E Crystal Lake Dr
Urbana, IL
(40.118918066, -88.207496098)"
411026,11/29/2004,2004,11,1200 BLOCK,Lanore Dr,,Municipal Waste,Owner Abated,,Not Available,false,0,"1200 Lanore Dr
Urbana, IL
(40.101654282, -88.186453136)"
22-001365,05/19/2022,2022,5,1300 Block,South Vine Street,05/19/2022,Weeds/Grass,Voluntarily Complied,05/31/2022,Phone,false,0,"1300 South Vine Street
Urbana, IL
(40.101942694, -88.204885083)"
305075,05/14/2003,2003,5,1000 BLOCK,Austin,,Municipal Waste,City Abated,,Not Available,false,0,"1000 Austin
Urbana, IL
(40.104834351, -88.187492953)"
1110006,10/04/2011,2011,10,1300 BLOCK,W Eads St,10/04/2011,Weeds/Grass,Owner Abated,10/12/2011,Not Available,false,0,"1300 W Eads St
Urbana, IL
(40.123176762, -88.225835634)"
20-000968,06/04/2020,2020,6,600 Block,West California Avenue,06/04/2020,Weeds/Grass,Voluntarily Complied,06/12/2020,Phone,false,0,"600 West California Avenue
Urbana, IL
(40.108376282, -88.214556185)"
1107022,07/12/2011,2011,7,700 BLOCK,S Busey Av,07/12/2011,Municipal Waste,Owner Abated,07/14/2011,Not Available,false,0,"700 S Busey Av
Urbana, IL
(40.107373652, -88.217603895)"
302034,02/13/2003,2003,2,1100 BLOCK,N Geraldine,,Municipal Waste,Owner Abated,,Not Available,false,0,"1100 N Geraldine
Urbana, IL
(40.123473531, -88.202750448)"
19-001953,09/11/2019,2019,9,600 Block,West Illinois Street,09/11/2019,Weeds/Grass,Voluntarily Complied,09/19/2019,Phone,false,0,"600 West Illinois Street
Urbana, IL
(40.109206791, -88.214585568)"
20-000728,05/11/2020,2020,5,1300 Block,West Beech Street,05/11/2020,Municipal Waste,Voluntarily Complied,07/07/2020,Phone,false,0,"1300 West Beech Street
Urbana, IL
(40.122227288, -88.225824887)"
506046,06/13/2005,2005,6,900 BLOCK,W Eads St,,Weeds/Grass,Owner Abated,,Not Available,false,0,"900 W Eads St
Urbana, IL
(40.123266898, -88.219545455)"
19-001315,06/28/2019,2019,6,900 Block,South Timothy Trail,06/28/2019,Weeds/Grass,Voluntarily Complied,07/08/2019,Phone,false,0,"900 South Timothy Trail
Urbana, IL
(40.105673618, -88.178063935)"
408033,08/09/2007,2007,8,800 BLOCK,W Stoughton,,Weeds/Grass,Owner Abated,,Not Available,false,0,"800 W Stoughton
Urbana, IL
(40.113456135, -88.217761177)"
22-001900,06/15/2022,2022,6,1800 Block,South Vine Street,06/15/2022,Weeds/Grass,Voluntarily Complied,10/04/2022,Phone,false,0,"1800 South Vine Street
Urbana, IL
(40.096444195, -88.204823169)"
1105112,05/23/2011,2011,5,0 BLOCK,Shuman Cir,05/24/2011,Weeds/Grass,Owner Abated,06/01/2011,Not Available,false,0,"0 Shuman Cir
Urbana, IL
(40.092875921, -88.201821086)"
18-036542,12/17/2018,2018,12,1300 Block,East Silver Street,,Municipal Waste,City Abated,01/03/2019,City Staff Reported,false,663,"1300 East Silver Street
Urbana, IL
(40.091547301, -88.192955131)"
1208043,08/16/2012,2012,8,100 BLOCK,W McHenry St,,Municipal Waste,Invalid,,Not Available,false,0,"100 W McHenry St
Urbana, IL
(40.087079993, -88.207518984)"
1107033,07/20/2011,2011,7,2100 BLOCK,S Burlison Dr,07/21/2011,Weeds/Grass,Owner Abated,07/29/2011,Not Available,false,0,"2100 S Burlison Dr
Urbana, IL
(40.090923877, -88.205363636)"
1002002,02/03/2010,2010,2,900 BLOCK,N Division Av,02/04/2010,Municipal Waste,Owner Abated,02/12/2010,Not Available,false,0,"900 N Division Av
Urbana, IL
(40.121258606, -88.205176834)"
1706016,06/14/2017,2017,6,900 BLOCK,E Park St,06/14/2017,Municipal Waste,Owner Abated,06/22/2017,Not Available,false,0,"900 E Park St
Urbana, IL
(40.117287287, -88.197265078)"
21-000949,05/11/2021,2021,5,2300 Block,East Washington Street,05/11/2021,Weeds/Grass,Voluntarily Complied,06/01/2021,Phone,false,0,"2300 East Washington Street
Urbana, IL
(40.105787316, -88.178065084)"
19-001771,08/21/2019,2019,8,2100 Block,North Willow Road,,,Unfounded,08/21/2019,Internet,true,0,"2100 North Willow Road
Urbana, IL
(40.132978118, -88.200638851)"
1408081,08/21/2014,2014,8,400 BLOCK,W Green St,08/21/2014,Municipal Waste,Owner Abated,08/29/2014,Not Available,false,0,"400 W Green St
Urbana, IL
(40.110765647, -88.211857023)"
20-001481,08/03/2020,2020,8,800 Block,West Sunset Drive,08/03/2020,Weeds/Grass,Voluntarily Complied,08/12/2020,Phone,false,0,"800 West Sunset Drive
Urbana, IL
(40.123746664, -88.217075763)"
807062,07/31/2008,2008,7,600 BLOCK,W Iowa St,08/01/2008,Weeds/Grass,Owner Abated,08/09/2008,Not Available,false,0,"600 W Iowa St
Urbana, IL
(40.104736849, -88.214475537)"
21-002069,09/10/2021,2021,9,1500 Block,South Smith Road,,,Referred to other department,09/10/2021,Internet,true,0,"1500 South Smith Road
Urbana, IL
(40.100000246, -88.175961927)"
22-002189,07/06/2022,2022,7,1100 Block,West Fairview Avenue,07/06/2022,Weeds/Grass,Voluntarily Complied,10/04/2022,Phone,false,0,"1100 West Fairview Avenue
Urbana, IL
(40.120105858, -88.222076738)"
303030,03/14/2003,2003,3,1200 BLOCK,E Florida Av,,Municipal Waste,Owner Abated,,Not Available,false,0,"1200 E Florida Av
Urbana, IL
(40.098437309, -88.194059801)"
305115,05/29/2003,2003,5,2100 BLOCK,E Michigan Av,,Weeds/Grass,Owner Abated,,Not Available,false,0,"2100 E Michigan Av
Urbana, IL
(40.101838211, -88.181316294)"
1507031,07/20/2015,2015,7,1200 BLOCK,W Beslin St,07/20/2015,Weeds/Grass,City Abated,07/28/2015,Not Available,false,0,"1200 W Beslin St
Urbana, IL
(40.120347311, -88.224184965)"
1008053,08/17/2010,2010,8,700 BLOCK,E Michigan St,08/18/2010,Municipal Waste,Owner Abated,08/26/2010,Not Available,false,0,"700 E Michigan St
Urbana, IL
(40.101667606, -88.200025522)"
1405035,05/16/2014,2014,5,400 BLOCK,N Beringer CR,,Weeds/Grass,Invalid,,Not Available,false,0,"400 N Beringer CR
Urbana, IL
(40.115269639, -88.168020403)"
1505056,05/14/2015,2015,5,1200 BLOCK,W Eads St,05/14/2015,Weeds/Grass,Owner Abated,05/22/2015,Not Available,false,0,"1200 W Eads St
Urbana, IL
(40.123186835, -88.224245514)"
22-002647,08/17/2022,2022,8,900 Block,West Stoughton Street,08/17/2022,Municipal Waste,Voluntarily Complied,08/25/2022,Internet,false,0,"900 West Stoughton Street
Urbana, IL
(40.113666136, -88.219456388)"
705109,05/30/2007,2007,5,0 BLOCK,Florida Dr,05/31/2007,Municipal Waste,City Abated,06/08/2007,Not Available,false,0,"0 Florida Dr
Urbana, IL
(40.097919994, -88.208679961)"
23-001238,05/11/2023,2023,5,2200 Block,East Rainbow View,05/11/2023,Weeds/Grass,Voluntarily Complied,05/19/2023,Phone,false,0,"2200 East Rainbow View
Urbana, IL
(40.103555575, -88.17929298)"
1110022,10/13/2011,2011,10,1300 BLOCK,E Silver St,10/14/2011,Municipal Waste,Owner Abated,10/22/2011,Not Available,false,0,"1300 E Silver St
Urbana, IL
(40.091547301, -88.192955131)"
18-000530,05/17/2018,2018,5,700 Block,S Vine Street,05/17/2018,Weeds/Grass,Voluntarily Complied,05/25/2018,City Staff Reported,false,0,"700 S Vine Street
Urbana, IL
(40.107566966, -88.20485342)"
1502006,02/10/2015,2015,2,1000 BLOCK,N Geraldine Av,02/10/2015,Weeds/Grass,Owner Abated,02/18/2015,Not Available,false,0,"1000 N Geraldine Av
Urbana, IL
(40.122035176, -88.20273241)"
1105024,05/06/2011,2011,5,1000 BLOCK,N Berkley Av,05/06/2011,Weeds/Grass,City Abated,05/06/2011,Not Available,false,0,"1000 N Berkley Av
Urbana, IL
(40.121997288, -88.206375111)"
506092,06/29/2005,2005,6,1300 BLOCK,E Laurel Dr,,Weeds/Grass,Owner Abated,,Not Available,false,0,"1300 E Laurel Dr
Urbana, IL
(40.101485639, -88.192734229)"
606084,06/30/2006,2006,6,1200 BLOCK,S Vine St,,Municipal Waste,Owner Abated,,Not Available,false,0,"1200 S Vine St
Urbana, IL
(40.102837007, -88.204304021)"
1306034,06/24/2013,2013,6,1400 BLOCK,S Cottage Grove Av,06/24/2013,Municipal Waste,City Abated,07/02/2013,Not Available,false,0,"1400 S Cottage Grove Av
Urbana, IL
(40.100803253, -88.195484416)"
408005,08/02/2004,2004,8,1100 BLOCK,Lanore,,Weeds/Grass,Owner Abated,,Not Available,false,0,"1100 Lanore
Urbana, IL
(40.103773967, -88.18651345)"
18-000500,05/15/2018,2018,5,700 Block,S Maple Street,05/15/2018,Weeds/Grass,Voluntarily Complied,05/23/2018,Phone,false,0,"700 S Maple Street
Urbana, IL
(40.107614039, -88.202413408)"
905016,05/04/2009,2009,5,1400 BLOCK,W Eads St,05/05/2009,Municipal Waste,Owner Abated,05/13/2009,Not Available,false,0,"1400 W Eads St
Urbana, IL
(40.123167276, -88.227254924)"
909062,09/24/2009,2009,9,1000 BLOCK,N Berkley Av,09/24/2009,Weeds/Grass,City Abated,09/24/2009,Not Available,false,0,"1000 N Berkley Av
Urbana, IL
(40.121997288, -88.206375111)"
22-000066,01/18/2022,2022,1,1300 Block,South Montgomery Street,01/18/2022,Municipal Waste,City Abated,06/01/2022,Phone,false,960,"1300 South Montgomery Street
Urbana, IL
(40.102806712, -88.173739973)"
21-001519,07/09/2021,2021,7,600 Block,East Elm Street,07/09/2021,Municipal Waste,Voluntarily Complied,07/19/2021,Phone,false,0,"600 East Elm Street
Urbana, IL
(40.111828698, -88.201326962)"
608064,08/23/2006,2006,8,900 BLOCK,S Busey Av,,Municipal Waste,Owner Abated,,Not Available,false,0,"900 S Busey Av
Urbana, IL
(40.105484427, -88.21757293)"
1207005,07/03/2012,2012,7,1100 BLOCK,W Hill St,07/03/2012,Weeds/Grass,Owner Abated,07/11/2012,Not Available,false,0,"1100 W Hill St
Urbana, IL
(40.119256963, -88.221825376)"
22-000914,04/27/2022,2022,4,1400 Block,East Briarcliff Drive,04/27/2022,Municipal Waste,Voluntarily Complied,05/09/2022,Phone,false,0,"1400 East Briarcliff Drive
Urbana, IL
(40.100155838, -88.192007072)"
1211006,11/08/2012,2012,11,500 BLOCK,W Green St,11/08/2012,Municipal Waste,Owner Abated,11/16/2012,Not Available,false,0,"500 W Green St
Urbana, IL
(40.110736204, -88.213236316)"
1105067,05/17/2011,2011,5,600 BLOCK,S Glover Av,05/17/2011,Weeds/Grass,City Abated,05/25/2011,Not Available,false,0,"600 S Glover Av
Urbana, IL
(40.108578265, -88.193249939)"
508074,08/17/2005,2005,8,200 BLOCK,W Green St,,Municipal Waste,Owner Abated,,Not Available,false,0,"200 W Green St
Urbana, IL
(40.110815703, -88.208986903)"
1304002,04/01/2013,2013,4,1300 BLOCK,E Silver St,04/02/2013,Municipal Waste,Owner Abated,04/10/2013,Not Available,false,0,"1300 E Silver St
Urbana, IL
(40.091547301, -88.192955131)"
1007044,07/21/2010,2010,7,400 BLOCK,W High St,07/22/2010,Municipal Waste,Owner Abated,07/30/2010,Not Available,false,0,"400 W High St
Urbana, IL
(40.109946217, -88.211826301)"
19-001946,09/10/2019,2019,9,900 Block,West University Avenue,09/10/2019,Weeds/Grass,Voluntarily Complied,09/18/2019,Phone,false,0,"900 West University Avenue
Urbana, IL
(40.116497293, -88.219790006)"
505092,05/16/2005,2005,5,200 BLOCK,N Busey Av,,Municipal Waste,Owner Abated,,Not Available,false,0,"200 N Busey Av
Urbana, IL
(40.113435512, -88.217612328)"
20-002414,12/05/2020,2020,12,1000 Block,West Clark Street,,,Referred to other department,12/07/2020,Internet,true,0,"1000 West Clark Street
Urbana, IL
(40.115546844, -88.220785501)"
612008,12/11/2006,2006,12,1200 BLOCK,W Eads St,,Municipal Waste,City Abated,,Not Available,false,0,"1200 W Eads St
Urbana, IL
(40.123186835, -88.224245514)"
1206021,06/11/2012,2012,6,2600 BLOCK,N Fieldcrest Dr,06/12/2012,Weeds/Grass,Owner Abated,06/20/2012,Not Available,false,0,"2600 N Fieldcrest Dr
Urbana, IL
(40.139808745, -88.175805141)"
1305132,05/21/2013,2013,5,500 BLOCK,Shuman Cir,05/21/2013,Weeds/Grass,Owner Abated,05/29/2013,Not Available,false,0,"500 Shuman Cir
Urbana, IL
(40.092894092, -88.202297862)"
612026,12/20/2006,2006,12,400 BLOCK,S Glover Av,,Municipal Waste,Owner Abated,,Not Available,false,0,"400 S Glover Av
Urbana, IL
(40.110085006, -88.193119042)"
20-001575,08/13/2020,2020,8,300 Block,West Elm Street,,Municipal Waste,Voluntarily Complied,11/17/2020,Internet,false,0,"300 West Elm Street
Urbana, IL
(40.111626225, -88.210436303)"
1407015,07/10/2014,2014,7,500 BLOCK,S Glover Av,07/10/2014,Weeds/Grass,Owner Abated,07/18/2014,Not Available,false,0,"500 S Glover Av
Urbana, IL
(40.109305992, -88.192508001)"
1008060,08/23/2010,2010,8,500 BLOCK,S Urbana Av,08/23/2010,Weeds/Grass,City Abated,08/31/2010,Not Available,false,0,"500 S Urbana Av
Urbana, IL
(40.109263797, -88.20360366)"
406065,06/28/2004,2004,6,200 BLOCK,N Coler Av,,Weeds/Grass,Owner Abated,,Not Available,false,0,"200 N Coler Av
Urbana, IL
(40.11320807, -88.215914678)"
906002,06/01/2009,2009,6,100 BLOCK,S Lynn St,,Municipal Waste,Invalid,,Not Available,false,0,"100 S Lynn St
Urbana, IL
(40.112923065, -88.197764581)"
1607019,07/13/2016,2016,7,1900 BLOCK,S Vine St,07/13/2016,Weeds/Grass,Owner Abated,07/21/2016,Not Available,false,0,"1900 S Vine St
Urbana, IL
(40.094623249, -88.204784378)"
22-002373,07/26/2022,2022,7,600 Block,East High Street,07/26/2022,Municipal Waste,Voluntarily Complied,08/03/2022,Phone,false,0,"600 East High Street
Urbana, IL
(40.110068669, -88.201276928)"
1006051,06/08/2010,2010,6,2100 BLOCK,E Vermont Av,06/09/2010,Weeds/Grass,City Abated,06/17/2010,Not Available,false,0,"2100 E Vermont Av
Urbana, IL
(40.100398699, -88.181286969)"
705036,05/07/2007,2007,5,1100 BLOCK,E Michigan Av,05/08/2007,Weeds/Grass,Owner Abated,05/16/2007,Not Available,false,0,"1100 E Michigan Av
Urbana, IL
(40.101688029, -88.195496042)"
21-001715,08/02/2021,2021,8,1100 Block,East Delaware Avenue,08/02/2021,Municipal Waste,Voluntarily Complied,08/10/2021,Phone,false,0,"1100 East Delaware Avenue
Urbana, IL
(40.099276941, -88.19547459)"
908039,08/18/2009,2009,8,1500 BLOCK,Briarcliff Dr,08/19/2009,Weeds/Grass,Owner Abated,08/27/2009,Not Available,false,0,"1500 Briarcliff Dr
Urbana, IL
(40.100103488, -88.190650481)"
1109029,09/13/2011,2011,9,1500 BLOCK,S Curtiss Dr,09/14/2011,Municipal Waste,Owner Abated,09/22/2011,Not Available,false,0,"1500 S Curtiss Dr
Urbana, IL
(40.10097513, -88.184542005)"
709036,09/11/2007,2007,9,700 BLOCK,W Oregon St,09/12/2007,Weeds/Grass,Owner Abated,09/20/2007,Not Available,false,0,"700 W Oregon St
Urbana, IL
(40.107629988, -88.216224009)"
308021,08/06/2003,2003,8,200 BLOCK,W Washington,,Weeds/Grass,Owner Abated,,Not Available,false,0,"200 W Washington
Urbana, IL
(40.105638166, -88.209556233)"
307033,07/15/2003,2003,7,2500 BLOCK,S Combes,,Weeds/Grass,City Abated,,Not Available,false,0,"2500 S Combes
Urbana, IL
(40.085803277, -88.194334404)"
1703004,03/08/2017,2017,3,1800 BLOCK,S Cottage Grove Av,03/08/2017,Municipal Waste,Owner Abated,03/16/2017,Not Available,false,0,"1800 S Cottage Grove Av
Urbana, IL
(40.097490487, -88.195261371)"
20-000770,05/14/2020,2020,5,1600 Block,East Ivanhoe Way,05/14/2020,Weeds/Grass,City Abated,07/07/2020,Phone,false,233,"1600 East Ivanhoe Way
Urbana, IL
(40.102304581, -88.18864421)"
20-001045,06/15/2020,2020,6,800 Block,West Indiana Avenue,06/15/2020,Weeds/Grass,Voluntarily Complied,06/23/2020,Phone,false,0,"800 West Indiana Avenue
Urbana, IL
(40.102846324, -88.217686177)"
1106034,06/09/2011,2011,6,1200 BLOCK,E Michigan Av,06/10/2011,Municipal Waste,Owner Abated,06/18/2011,Not Available,false,0,"1200 E Michigan Av
Urbana, IL
(40.101663041, -88.194170014)"
808067,08/26/2008,2008,8,900 BLOCK,W Main St,08/26/2008,Municipal Waste,Owner Abated,09/03/2008,Not Available,false,0,"900 W Main St
Urbana, IL
(40.114567837, -88.219434193)"
605099,05/17/2006,2006,5,900 BLOCK,E Oregon St,,Weeds/Grass,Owner Abated,,Not Available,false,0,"900 E Oregon St
Urbana, IL
(40.10778728, -88.19785509)"
22-002832,08/31/2022,2022,8,1000 Block,South Lanore Drive,08/31/2022,Municipal Waste,Voluntarily Complied,09/08/2022,Phone,false,0,"1000 South Lanore Drive
Urbana, IL
(40.104747416, -88.186539849)"
309040,09/16/2003,2003,9,800 BLOCK,N Romine,,Weeds/Grass,City Abated,,Not Available,false,0,"800 N Romine
Urbana, IL
(40.119376357, -88.22707383)"
22-002843,09/01/2022,2022,9,800 Block,West Illinois Street,,,Referred to other department,09/01/2022,Internet,true,0,"800 West Illinois Street
Urbana, IL
(40.109175862, -88.217786776)"
1211003,11/06/2012,2012,11,900 BLOCK,N Division Av,11/06/2012,Municipal Waste,Owner Abated,11/14/2012,Not Available,false,0,"900 N Division Av
Urbana, IL
(40.121258606, -88.205176834)"
23-001639,06/05/2023,2023,6,700 Block,South Grove Street,06/05/2023,Weeds/Grass,Voluntarily Complied,06/13/2023,Phone,false,0,"700 South Grove Street
Urbana, IL
(40.107643591, -88.201224004)"
305092,05/20/2003,2003,5,300 BLOCK,S Coler Av,,Weeds/Grass,Owner Abated,,Not Available,false,0,"300 S Coler Av
Urbana, IL
(40.110582718, -88.215915072)"
22-003094,09/27/2022,2022,9,900 Block,"South ""Cottage Grove"" Avenue",09/27/2022,Weeds/Grass,Voluntarily Complied,10/05/2022,Internet,false,0,"900 South Cottage Grove Avenue
Urbana, IL
(40.105633662, -88.195583872)"
706055,06/18/2007,2007,6,800 BLOCK,S Grove St,06/19/2007,Weeds/Grass,Owner Abated,06/27/2007,Not Available,false,0,"800 S Grove St
Urbana, IL
(40.106671141, -88.201204905)"
23-002939,09/28/2023,2023,9,2000 Block,South Vawter Street,,,Referred to other department,09/29/2023,Internet,true,0,"2000 South Vawter Street
Urbana, IL
(40.092994506, -88.191762788)"
604003,04/04/2006,2006,4,800 BLOCK,W Iowa St,,Municipal Waste,Owner Abated,,Not Available,false,0,"800 W Iowa St
Urbana, IL
(40.104716333, -88.21770612)"
22-003700,12/15/2022,2022,12,1000 Block,South Lincoln Avenue,12/15/2022,Municipal Waste,Voluntarily Complied,12/27/2022,Phone,false,0,"1000 South Lincoln Avenue
Urbana, IL
(40.104564999, -88.219145128)"
20-000921,05/29/2020,2020,5,2300 Block,East Rainbow View,05/29/2020,Weeds/Grass,Voluntarily Complied,06/09/2020,Phone,false,0,"2300 East Rainbow View
Urbana, IL
(40.104067308, -88.177246815)"
18-000443,05/08/2018,2018,5,2700 Block,"S ""Susan Stone"" Drive",05/09/2018,Weeds/Grass,Voluntarily Complied,05/16/2018,Email,false,0,"2700 S Susan Stone Drive
Urbana, IL
(40.083782714, -88.181435136)"
1703010,03/29/2017,2017,3,1300 BLOCK,N Berkley Av,03/29/2017,Municipal Waste,City Abated,04/06/2017,Not Available,false,0,"1300 N Berkley Av
Urbana, IL
(40.124858616, -88.206426857)"
608034,08/09/2006,2006,8,200 BLOCK,N McCullough St,,Weeds/Grass,Owner Abated,,Not Available,false,0,"200 N McCullough St
Urbana, IL
(40.113478093, -88.21259614)"
704014,04/05/2007,2007,4,700 BLOCK,W Green St,04/05/2007,Municipal Waste,Owner Abated,04/13/2007,Not Available,false,0,"700 W Green St
Urbana, IL
(40.110696445, -88.216066015)"
18-036233,10/25/2018,2018,10,1200 Block,West Beslin Street,10/26/2018,Weeds/Grass,City Abated,12/17/2018,Phone,false,0,"1200 West Beslin Street
Urbana, IL
(40.120347311, -88.224184965)"
1008058,08/20/2010,2010,8,300 BLOCK,E Highland Dr,08/20/2010,Weeds/Grass,Owner Abated,08/28/2010,Not Available,false,0,"300 E Highland Dr
Urbana, IL
(40.123468313, -88.20435257)"
1509039,09/21/2015,2015,9,400 BLOCK,S Coler Av,09/21/2015,Municipal Waste,Owner Abated,09/29/2015,Not Available,false,0,"400 S Coler Av
Urbana, IL
(40.109772691, -88.215915072)"
19-000850,05/10/2019,2019,5,1300 Block,North Berkley Avenue,05/10/2019,Weeds/Grass,Voluntarily Complied,05/20/2019,Phone,false,0,"1300 North Berkley Avenue
Urbana, IL
(40.124858616, -88.206426857)"
605107,05/18/2006,2006,5,800 BLOCK,W Iowa St,,Weeds/Grass,Owner Abated,,Not Available,false,0,"800 W Iowa St
Urbana, IL
(40.104716333, -88.21770612)"
1508001,08/03/2015,2015,8,700 BLOCK,W Illinois St,08/03/2015,Municipal Waste,Owner Abated,08/05/2015,Not Available,false,0,"700 W Illinois St
Urbana, IL
(40.10930398, -88.216247982)"
1606036,06/08/2016,2016,6,100 BLOCK,N Coler Av,06/08/2016,Weeds/Grass,Owner Abated,06/16/2016,Not Available,false,0,"100 N Coler Av
Urbana, IL
(40.112707665, -88.21597237)"
18-000816,07/31/2018,2018,7,500 Block,S McCullough Street,07/31/2018,Weeds/Grass,Voluntarily Complied,10/31/2018,Phone,false,0,"500 S McCullough Street
Urbana, IL
(40.1091127, -88.213065058)"
21-001384,06/23/2021,2021,6,300 Block,West California Avenue,06/23/2021,Municipal Waste,Voluntarily Complied,09/28/2021,Internet,false,0,"300 West California Avenue
Urbana, IL
(40.10842674, -88.210385603)"
20-000936,06/01/2020,2020,6,800 Block,East Main Street,06/01/2020,Weeds/Grass,Voluntarily Complied,06/09/2020,Phone,false,0,"800 East Main Street
Urbana, IL
(40.113037285, -88.199135085)"
505042,05/09/2005,2005,5,100 BLOCK,Hartle Av,,Municipal Waste,Owner Abated,,Not Available,false,0,"100 Hartle Av
Urbana, IL
(40.112912719, -88.192095041)"
1210005,10/03/2012,2012,10,500 BLOCK,S Birch St,10/03/2012,Weeds/Grass,City Abated,10/11/2012,Not Available,false,0,"500 S Birch St
Urbana, IL
(40.109124784, -88.211652445)"
510039,10/19/2005,2005,10,1100 BLOCK,S Austin Dr,,Weeds/Grass,City Abated,,Not Available,false,0,"1100 S Austin Dr
Urbana, IL
(40.10376461, -88.187452664)"
1006029,06/07/2010,2010,6,1900 BLOCK,E Galena Dr,06/08/2010,Weeds/Grass,Owner Abated,06/16/2010,Not Available,false,0,"1900 E Galena Dr
Urbana, IL
(40.081397412, -88.183472716)"
23-001168,05/09/2023,2023,5,300 Block,East California Avenue,05/09/2023,Municipal Waste,Voluntarily Complied,05/17/2023,Phone,false,0,"300 East California Avenue
Urbana, IL
(40.108520918, -88.204810159)"
20-000797,05/18/2020,2020,5,1900 Block,South Vine Street,05/18/2020,Weeds/Grass,Voluntarily Complied,05/26/2020,Phone,false,0,"1900 South Vine Street
Urbana, IL
(40.094623249, -88.204784378)"
509028,09/13/2005,2005,9,200 BLOCK,S Lynn St,,Municipal Waste,Owner Abated,,Not Available,false,0,"200 S Lynn St
Urbana, IL
(40.11193543, -88.197756233)"
1506010,06/04/2015,2015,6,1600 BLOCK,E Hunter St,06/04/2015,Weeds/Grass,City Abated,06/12/2015,Not Available,false,0,"1600 E Hunter St
Urbana, IL
(40.10387729, -88.188545063)"
605055,05/09/2006,2006,5,900 BLOCK,E Colorado Av,,Municipal Waste,Owner Abated,,Not Available,false,0,"900 E Colorado Av
Urbana, IL
(40.094777718, -88.197005634)"
21-002172,09/20/2021,2021,9,1600 Block,South Wiley Drive,09/20/2021,Weeds/Grass,Voluntarily Complied,10/04/2021,Phone,false,0,"1600 South Wiley Drive
Urbana, IL
(40.099133239, -88.197804367)"
710057,10/16/2007,2007,10,700 BLOCK,Sunny Ln,10/16/2007,Weeds/Grass,Owner Abated,10/24/2007,Not Available,false,0,"700 Sunny Ln
Urbana, IL
(40.107074413, -88.172539999)"
712008,12/18/2007,2007,12,1200 BLOCK,N Coler Av,12/18/2007,Weeds/Grass,Owner Abated,12/26/2007,Not Available,false,0,"1200 N Coler Av
Urbana, IL
(40.122847426, -88.215688394)"
24-000167,01/25/2024,2024,1,900 Block,South Lanore Drive,01/25/2024,Municipal Waste,Voluntarily Complied,02/14/2024,Phone,false,0,"900 South Lanore Drive
Urbana, IL
(40.105623882, -88.186563557)"
1709013,09/11/2017,2017,9,400 BLOCK,S Poplar St,09/11/2017,Weeds/Grass,Owner Abated,09/19/2017,Not Available,false,0,"400 S Poplar St
Urbana, IL
(40.110163, -88.194410038)"
903051,03/31/2009,2009,3,800 BLOCK,W Oregon St,03/31/2009,Municipal Waste,Owner Abated,04/08/2009,Not Available,false,0,"800 W Oregon St
Urbana, IL
(40.107485366, -88.217757378)"
1310017,10/23/2013,2013,10,1700 BLOCK,S Cottage Grove Av,10/23/2013,Weeds/Grass,Owner Abated,10/31/2013,Not Available,false,0,"1700 S Cottage Grove Av
Urbana, IL
(40.098327346, -88.195469463)"
