,File Number,Date Reported,Year Reported,Month Reported,Housing Block,Street Name,Date Notice Mailed or Given,Type of Complaint,Disposition,File Close Date,Method Submitted,Submitted Online?,Total Fees,Mapped Location,Latitude,Longitude
2658,1412010,12/15/2014,2014,12,1000 BLOCK,S Busey Av,12/15/2014,Weeds/Grass,Owner Abated,12/23/2014,Not Available,False,0.0,"1000 S Busey Av
Urbana, IL
(40.104603153, -88.217554482)",40.104603153,-88.217554482
2659,907050,07/27/2009,2009,7,700 BLOCK,W California Av,07/28/2009,Weeds/Grass,Owner Abated,08/05/2009,Not Available,False,0.0,"700 W California Av
Urbana, IL
(40.108356404, -88.216066042)",40.108356404,-88.216066042
2660,22-001856,06/10/2022,2022,6,900 Block,North Harvey Street,06/10/2022,Weeds/Grass,Voluntarily Complied,10/04/2022,Phone,False,0.0,"900 North Harvey Street
Urbana, IL
(40.120106984, -88.221924648)",40.120106984,-88.221924648
2661,21-001132,05/26/2021,2021,5,900 Block,South Maple Street,05/26/2021,Weeds/Grass,Voluntarily Complied,01/04/2022,Phone,False,0.0,"900 South Maple Street
Urbana, IL
(40.105602073, -88.202355906)",40.105602073,-88.202355906
2662,809026,09/22/2008,2008,9,1200 BLOCK,E Pennsylvania Av,09/23/2008,Weeds/Grass,Owner Abated,10/01/2008,Not Available,False,0.0,"1200 E Pennsylvania Av
Urbana, IL
(40.100073336, -88.194325234)",40.100073336,-88.194325234
2665,18-000501,05/15/2018,2018,5,1300 Block,W Tremont Street,05/15/2018,Weeds/Grass,Voluntarily Complied,05/23/2018,Phone,False,0.0,"1300 W Tremont Street
Urbana, IL
(40.124867195, -88.225876184)",40.124867195,-88.225876184
2666,23-000789,04/06/2023,2023,4,2200 Block,"East ""Country Squire"" Drive",04/06/2023,Municipal Waste,Voluntarily Complied,04/14/2023,Phone,False,0.0,"2200 East Country Squire Drive
Urbana, IL
(40.102825175, -88.178928937)",40.102825175,-88.178928937
2667,1510002,10/06/2015,2015,10,200 BLOCK,W High St,10/06/2015,Weeds/Grass,Owner Abated,10/14/2015,Not Available,False,0.0,"200 W High St
Urbana, IL
(40.109986214, -88.208966293)",40.109986214,-88.208966293
2669,1705022,05/09/2017,2017,5,100 BLOCK,E Kerr Av,05/09/2017,Municipal Waste,Owner Abated,05/17/2017,Not Available,False,0.0,"100 E Kerr Av
Urbana, IL
(40.12200666, -88.207544223)",40.12200666,-88.207544223
2670,1005013,05/04/2010,2010,5,1200 BLOCK,W Beslin St,05/05/2010,Weeds/Grass,City Abated,05/13/2010,Not Available,False,0.0,"1200 W Beslin St
Urbana, IL
(40.120347311, -88.224184965)",40.120347311,-88.224184965
2671,1205057,05/09/2012,2012,5,1200 BLOCK,N Berkley Av,05/09/2012,Weeds/Grass,Owner Abated,05/17/2012,Not Available,False,0.0,"1200 N Berkley Av
Urbana, IL
(40.123810194, -88.206416812)",40.123810194,-88.206416812
2672,902004,02/02/2009,2009,2,1900 BLOCK,S Anderson St,02/03/2009,Weeds/Grass,Owner Abated,02/11/2009,Not Available,False,0.0,"1900 S Anderson St
Urbana, IL
(40.094652701, -88.198545103)",40.094652701,-88.198545103
2673,1211009,11/16/2012,2012,11,300 BLOCK,S Grove St,11/16/2012,Municipal Waste,Owner Abated,11/24/2012,Not Available,False,0.0,"300 S Grove St
Urbana, IL
(40.110794271, -88.201303061)",40.110794271,-88.201303061
2677,21-001322,06/15/2021,2021,6,900 Block,East Delaware Avenue,06/15/2021,Weeds/Grass,Voluntarily Complied,09/28/2021,Phone,False,138.5,"900 East Delaware Avenue
Urbana, IL
(40.099248251, -88.197806331)",40.099248251,-88.197806331
2678,22-003731,12/21/2022,2022,12,1300 Block,West Beech Street,12/21/2022,Municipal Waste,Voluntarily Complied,01/10/2023,Phone,False,0.0,"1300 West Beech Street
Urbana, IL
(40.122227288, -88.225824887)",40.122227288,-88.225824887
2679,904027,04/30/2009,2009,4,1100 BLOCK,W Pennsylvania Av,05/01/2009,Municipal Waste,Owner Abated,05/09/2009,Not Available,False,0.0,"1100 W Pennsylvania Av
Urbana, IL
(40.100696711, -88.222925629)",40.100696711,-88.222925629
2680,23-001584,05/31/2023,2023,5,500 Block,South Urbana Avenue,05/31/2023,Weeds/Grass,City Abated,08/30/2023,Phone,False,177.5,"500 South Urbana Avenue
Urbana, IL
(40.109263797, -88.20360366)",40.109263797,-88.20360366
2681,708041,08/13/2007,2007,8,500 BLOCK,E Illinois St,08/14/2007,Weeds/Grass,Owner Abated,08/22/2007,Not Available,False,0.0,"500 E Illinois St
Urbana, IL
(40.109397898, -88.202465873)",40.109397898,-88.202465873
2682,1308031,08/23/2013,2013,8,2400 BLOCK,Whitson Cir,08/26/2013,Weeds/Grass,Owner Abated,09/03/2013,Not Available,False,0.0,"2400 Whitson Cir
Urbana, IL
(40.086509323, -88.192175955)",40.086509323,-88.192175955
2686,1506029,06/11/2015,2015,6,700 BLOCK,S Cottage Grove Av,06/11/2015,Municipal Waste,Owner Abated,06/19/2015,Not Available,False,0.0,"700 S Cottage Grove Av
Urbana, IL
(40.107702172, -88.195585796)",40.107702172,-88.195585796
2688,1009056,09/30/2010,2010,9,500 BLOCK,W California Av,10/01/2010,Weeds/Grass,Owner Abated,10/09/2010,Not Available,False,0.0,"500 W California Av
Urbana, IL
(40.108405588, -88.213217045)",40.108405588,-88.213217045
2689,23-001351,05/16/2023,2023,5,1900 Block,East Easy Street,05/16/2023,Weeds/Grass,Voluntarily Complied,05/24/2023,Phone,False,0.0,"1900 East Easy Street
Urbana, IL
(40.105027287, -88.18464513)",40.105027287,-88.18464513
2690,1406006,06/03/2014,2014,6,700 BLOCK,E Main St,06/03/2014,Weeds/Grass,Owner Abated,06/11/2014,Not Available,False,0.0,"700 E Main St
Urbana, IL
(40.112942735, -88.201362988)",40.112942735,-88.201362988
2691,20-000924,05/29/2020,2020,5,400 Block,East Green Street,05/29/2020,Weeds/Grass,Voluntarily Complied,06/09/2020,Phone,False,0.0,"400 East Green Street
Urbana, IL
(40.110868593, -88.203636816)",40.110868593,-88.203636816
2694,22-003118,09/29/2022,2022,9,800 Block,West Vermont Avenue,09/29/2022,Weeds/Grass,City Abated,12/01/2022,Phone,False,158.0,"800 West Vermont Avenue
Urbana, IL
(40.099906795, -88.217655573)",40.099906795,-88.217655573
2695,23-000996,04/25/2023,2023,4,900 Block,East Illinois Street,04/25/2023,Weeds/Grass,Voluntarily Complied,05/08/2023,Phone,False,0.0,"900 East Illinois Street
Urbana, IL
(40.109438118, -88.197656182)",40.109438118,-88.197656182
2696,909035,09/16/2009,2009,9,1000 BLOCK,S Rainbow View Dr,09/17/2009,Weeds/Grass,Owner Abated,09/25/2009,Not Available,False,0.0,"1000 S Rainbow View Dr
Urbana, IL
(40.104913928, -88.184643554)",40.104913928,-88.184643554
2697,19-001614,08/01/2019,2019,8,1200 Block,North Lincoln Avenue,08/01/2019,Municipal Waste,City Abated,09/10/2019,Phone,False,0.0,"1200 North Lincoln Avenue
Urbana, IL
(40.12309763, -88.219393669)",40.12309763,-88.219393669
2698,1506011,06/04/2015,2015,6,700 BLOCK,W Oregon St,06/04/2015,Weeds/Grass,City Abated,06/12/2015,Not Available,False,0.0,"700 W Oregon St
Urbana, IL
(40.107629988, -88.216224009)",40.107629988,-88.216224009
2700,23-003022,10/09/2023,2023,10,900 Block,South Philo Road,10/09/2023,Weeds/Grass,Voluntarily Complied,10/17/2023,Phone,False,0.0,"900 South Philo Road
Urbana, IL
(40.105676038, -88.194454162)",40.105676038,-88.194454162
2701,21-001986,09/01/2021,2021,9,500 Block,East Elm Street,09/01/2021,Municipal Waste,Voluntarily Complied,09/13/2021,Phone,False,0.0,"500 East Elm Street
Urbana, IL
(40.11180853, -88.202516755)",40.11180853,-88.202516755
2702,1009010,09/08/2010,2010,9,3100 BLOCK,E Stone Creek BLVD,09/09/2010,Weeds/Grass,Owner Abated,09/17/2010,Not Available,False,0.0,"3100 E Stone Creek BLVD
Urbana, IL
(40.088661246, -88.163714841)",40.088661246,-88.163714841
2705,1205030,05/04/2012,2012,5,800 BLOCK,W Nevada Av,05/04/2012,Weeds/Grass,Owner Abated,05/12/2012,Not Available,False,0.0,"800 W Nevada Av
Urbana, IL
(40.106555849, -88.217736731)",40.106555849,-88.217736731
2707,1708051,08/17/2017,2017,8,1400 BLOCK,W Beslin St,08/17/2017,Weeds/Grass,City Abated,08/17/2017,Not Available,False,0.0,"1400 W Beslin St
Urbana, IL
(40.120336848, -88.227205544)",40.120336848,-88.227205544
2708,1306012,06/10/2013,2013,6,400 BLOCK,S McCullough St,06/10/2013,Municipal Waste,Owner Abated,06/18/2013,Not Available,False,0.0,"400 S McCullough St
Urbana, IL
(40.10981368, -88.213073874)",40.10981368,-88.213073874
2712,1604007,04/14/2016,2016,4,1100 BLOCK,W Hill St,04/14/2016,Municipal Waste,Owner Abated,04/22/2016,Not Available,False,0.0,"1100 W Hill St
Urbana, IL
(40.119256963, -88.221825376)",40.119256963,-88.221825376
2713,1110001,10/03/2011,2011,10,1300 BLOCK,N Berkley Av,10/04/2011,Weeds/Grass,City Abated,10/12/2011,Not Available,False,0.0,"1300 N Berkley Av
Urbana, IL
(40.124858616, -88.206426857)",40.124858616,-88.206426857
2714,904004,04/01/2009,2009,4,1700 BLOCK,E James Cherry Dr,04/02/2009,Weeds/Grass,Owner Abated,04/10/2009,Not Available,False,0.0,"1700 E James Cherry Dr
Urbana, IL
(40.099043804, -88.186300779)",40.099043804,-88.186300779
2715,1601014,01/26/2016,2016,1,2300 BLOCK,E Rainbow View Dr,01/26/2016,Municipal Waste,Owner Abated,02/03/2016,Not Available,False,0.0,"2300 E Rainbow View Dr
Urbana, IL
(40.104067308, -88.177246815)",40.104067308,-88.177246815
2716,22-002505,08/05/2022,2022,8,400 Block,"South ""Cottage Grove"" Avenue",08/05/2022,Weeds/Grass,City Abated,10/04/2022,Phone,False,549.0,"400 South Cottage Grove Avenue
Urbana, IL
(40.110163844, -88.195654917)",40.110163844,-88.195654917
2718,1312012,12/17/2013,2013,12,600 BLOCK,S Lincoln Av,12/17/2013,Snow Removal,Owner Abated,12/18/2013,Not Available,False,0.0,"600 S Lincoln Av
Urbana, IL
(40.108214811, -88.219202384)",40.108214811,-88.219202384
2719,906030,06/10/2009,2009,6,500 BLOCK,W Main St,06/11/2009,Weeds/Grass,Owner Abated,06/19/2009,Not Available,False,0.0,"500 W Main St
Urbana, IL
(40.113552526, -88.21288008)",40.113552526,-88.21288008
2722,23-001988,07/10/2023,2023,7,1200 Block,West Hill Street,07/10/2023,Weeds/Grass,City Abated,08/30/2023,Phone,False,252.5,"1200 West Hill Street
Urbana, IL
(40.119396844, -88.224145499)",40.119396844,-88.224145499
2723,23-001205,05/10/2023,2023,5,1900 Block,South Vine Street,05/10/2023,Weeds/Grass,Voluntarily Complied,05/18/2023,Phone,False,0.0,"1900 South Vine Street
Urbana, IL
(40.094623249, -88.204784378)",40.094623249,-88.204784378
2724,1605025,05/09/2016,2016,5,600 BLOCK,E High St,05/09/2016,Weeds/Grass,Owner Abated,05/17/2016,Not Available,False,0.0,"600 E High St
Urbana, IL
(40.110068669, -88.201276928)",40.110068669,-88.201276928
2725,20-001521,08/06/2020,2020,8,1400 Block,East Silver Street,08/06/2020,Municipal Waste,City Abated,11/17/2020,Phone,False,1060.0,"1400 East Silver Street
Urbana, IL
(40.09154792, -88.191705956)",40.09154792,-88.191705956
2729,20-001169,06/30/2020,2020,6,100 Block,East Kerr Avenue,06/30/2020,Weeds/Grass,Voluntarily Complied,07/08/2020,Phone,False,0.0,"100 East Kerr Avenue
Urbana, IL
(40.12200666, -88.207544223)",40.12200666,-88.207544223
2730,1106069,06/28/2011,2011,6,600 BLOCK,S Glover Av,06/29/2011,Weeds/Grass,City Abated,07/07/2011,Not Available,False,0.0,"600 S Glover Av
Urbana, IL
(40.108578265, -88.193249939)",40.108578265,-88.193249939
2731,18-000821,08/01/2018,2018,8,1000 Block,W Fairview Avenue,08/01/2018,Weeds/Grass,Voluntarily Complied,08/09/2018,Phone,False,0.0,"1000 W Fairview Avenue
Urbana, IL
(40.120107295, -88.221154907)",40.120107295,-88.221154907
2732,21-001737,08/03/2021,2021,8,1100 Block,South Philo Road,08/03/2021,Weeds/Grass,Voluntarily Complied,08/11/2021,Internet,False,0.0,"1100 South Philo Road
Urbana, IL
(40.103733166, -88.191854944)",40.103733166,-88.191854944
2735,1204044,04/18/2012,2012,4,700 BLOCK,E Hawthorne Dr,04/19/2012,Weeds/Grass,Owner Abated,04/27/2012,Not Available,False,0.0,"700 E Hawthorne Dr
Urbana, IL
(40.102456841, -88.200044509)",40.102456841,-88.200044509
2736,1310012,10/10/2013,2013,10,700 BLOCK,W Illinois St,10/10/2013,Municipal Waste,Owner Abated,10/18/2013,Not Available,False,0.0,"700 W Illinois St
Urbana, IL
(40.10930398, -88.216247982)",40.10930398,-88.216247982
2738,1206048,06/25/2012,2012,6,2000 BLOCK,E Michigan Av,06/26/2012,Weeds/Grass,Owner Abated,07/04/2012,Not Available,False,0.0,"2000 E Michigan Av
Urbana, IL
(40.101807193, -88.183015876)",40.101807193,-88.183015876
2739,1204048,04/19/2012,2012,4,1100 BLOCK,S Lanore Dr,04/19/2012,Weeds/Grass,City Abated,04/27/2012,Not Available,False,0.0,"1100 S Lanore Dr
Urbana, IL
(40.103773967, -88.18651345)",40.103773967,-88.18651345
2742,911005,11/10/2009,2009,11,500 BLOCK,W California Av,11/12/2009,Municipal Waste,Owner Abated,11/20/2009,Not Available,False,0.0,"500 W California Av
Urbana, IL
(40.108405588, -88.213217045)",40.108405588,-88.213217045
2743,1707001,07/06/2017,2017,7,300 BLOCK,E Pennsylvania Av,07/06/2017,Weeds/Grass,Owner Abated,07/14/2017,Not Available,False,0.0,"300 E Pennsylvania Av
Urbana, IL
(40.100836728, -88.20487437)",40.100836728,-88.20487437
2744,19-001286,06/26/2019,2019,6,2000 Block,East Easy Street,06/26/2019,Weeds/Grass,Voluntarily Complied,07/08/2019,Phone,False,0.0,"2000 East Easy Street
Urbana, IL
(40.105027287, -88.183069265)",40.105027287,-88.183069265
2745,811007,11/05/2008,2008,11,400 BLOCK,S Grove St,11/06/2008,Municipal Waste,Owner Abated,11/14/2008,Not Available,False,0.0,"400 S Grove St
Urbana, IL
(40.109953358, -88.201274212)",40.109953358,-88.201274212
2747,1704005,04/12/2017,2017,4,200 BLOCK,Crystal Lake Dr,04/12/2017,Weeds/Grass,City Abated,04/20/2017,Not Available,False,0.0,"200 Crystal Lake Dr
Urbana, IL
(40.118930976, -88.206214162)",40.118930976,-88.206214162
2748,22-001355,05/19/2022,2022,5,500 Block,"South ""Cottage Grove"" Avenue",05/19/2022,Weeds/Grass,City Abated,07/20/2022,Phone,False,274.5,"500 South Cottage Grove Avenue
Urbana, IL
(40.109334311, -88.19563304)",40.109334311,-88.19563304
2749,1408011,08/06/2014,2014,8,200 BLOCK,W High St,08/06/2014,Weeds/Grass,Owner Abated,08/14/2014,Not Available,False,0.0,"200 W High St
Urbana, IL
(40.109986214, -88.208966293)",40.109986214,-88.208966293
2750,1409003,09/02/2014,2014,9,800 BLOCK,E Main St,09/02/2014,Municipal Waste,Owner Abated,09/10/2014,Not Available,False,0.0,"800 E Main St
Urbana, IL
(40.113037285, -88.199135085)",40.113037285,-88.199135085
2752,23-002518,08/28/2023,2023,8,700 Block,West Illinois Street,08/28/2023,Weeds/Grass,Voluntarily Complied,09/05/2023,Phone,False,0.0,"700 West Illinois Street
Urbana, IL
(40.10930398, -88.216247982)",40.10930398,-88.216247982
2754,808033,08/13/2008,2008,8,700 BLOCK,W Illinois St,08/14/2008,Weeds/Grass,Owner Abated,08/22/2008,Not Available,False,0.0,"700 W Illinois St
Urbana, IL
(40.10930398, -88.216247982)",40.10930398,-88.216247982
2755,704028,04/24/2007,2007,4,1000 BLOCK,N Busey Av,04/26/2007,Municipal Waste,Owner Abated,05/04/2007,Not Available,False,0.0,"1000 N Busey Av
Urbana, IL
(40.121016152, -88.216888012)",40.121016152,-88.216888012
2756,1508002,08/03/2015,2015,8,400 BLOCK,W Elm St,08/03/2015,Municipal Waste,Owner Abated,08/11/2015,Not Available,False,0.0,"400 W Elm St
Urbana, IL
(40.111606751, -88.211865599)",40.111606751,-88.211865599
2757,1707021,07/18/2017,2017,7,1200 BLOCK,S Lynn St,07/18/2017,Municipal Waste,Owner Abated,07/26/2017,Not Available,False,0.0,"1200 S Lynn St
Urbana, IL
(40.103536007, -88.197816797)",40.103536007,-88.197816797
2758,20-000674,05/05/2020,2020,5,700 Block,South Busey Avenue,05/05/2020,Weeds/Grass,City Abated,07/07/2020,Phone,False,163.5,"700 South Busey Avenue
Urbana, IL
(40.107373652, -88.217603895)",40.107373652,-88.217603895
2759,1004018,04/26/2010,2010,4,1000 BLOCK,W Fairview Av,04/27/2010,Weeds/Grass,Owner Abated,05/05/2010,Not Available,False,0.0,"1000 W Fairview Av
Urbana, IL
(40.120107295, -88.221154907)",40.120107295,-88.221154907
2760,19-001990,09/16/2019,2019,9,600 Block,East Colorado Avenue,09/16/2019,Weeds/Grass,City Abated,10/16/2019,Phone,False,271.5,"600 East Colorado Avenue
Urbana, IL
(40.094756968, -88.200000109)",40.094756968,-88.200000109
2761,1007023,07/08/2010,2010,7,1100 BLOCK,E Main St,07/09/2010,Weeds/Grass,Owner Abated,07/17/2010,Not Available,False,0.0,"1100 E Main St
Urbana, IL
(40.113027311, -88.195585097)",40.113027311,-88.195585097
2762,1408050,08/18/2014,2014,8,700 BLOCK,W Illinois St,08/18/2014,Municipal Waste,Owner Abated,08/26/2014,Not Available,False,0.0,"700 W Illinois St
Urbana, IL
(40.10930398, -88.216247982)",40.10930398,-88.216247982
2764,1408080,08/21/2014,2014,8,400 BLOCK,W Green St,08/21/2014,Weeds/Grass,City Abated,08/29/2014,Not Available,False,0.0,"400 W Green St
Urbana, IL
(40.110765647, -88.211857023)",40.110765647,-88.211857023
2765,811015,11/24/2008,2008,11,900 BLOCK,E Main St,11/25/2008,Municipal Waste,Owner Abated,12/03/2008,Not Available,False,0.0,"900 E Main St
Urbana, IL
(40.113035827, -88.197763204)",40.113035827,-88.197763204
2767,18-000541,05/18/2018,2018,5,1400 Block,W Hill Street,05/18/2018,Weeds/Grass,Voluntarily Complied,05/29/2018,City Staff Reported,False,0.0,"1400 W Hill Street
Urbana, IL
(40.119376858, -88.227225505)",40.119376858,-88.227225505
2768,20-002025,10/06/2020,2020,10,400 Block,West High Street,10/06/2020,Municipal Waste,Voluntarily Complied,10/15/2020,Phone,False,0.0,"400 West High Street
Urbana, IL
(40.109946217, -88.211826301)",40.109946217,-88.211826301
2769,1204001,04/03/2012,2012,4,1200 BLOCK,W Dublin St,04/03/2012,Weeds/Grass,City Abated,04/11/2012,Not Available,False,0.0,"1200 W Dublin St
Urbana, IL
(40.121316357, -88.224216112)",40.121316357,-88.224216112
2772,1509029,09/15/2015,2015,9,1700 BLOCK,E Hunter St,09/15/2015,Weeds/Grass,City Abated,09/23/2015,Not Available,False,0.0,"1700 E Hunter St
Urbana, IL
(40.103887306, -88.18651505)",40.103887306,-88.18651505
2773,19-001912,09/06/2019,2019,9,100 Block,"East ""Crystal Lake"" Drive",09/06/2019,Municipal Waste,Voluntarily Complied,09/16/2019,Phone,False,0.0,"100 East Crystal Lake Drive
Urbana, IL
(40.118918066, -88.207496098)",40.118918066,-88.207496098
2774,906042,06/16/2009,2009,6,1200 BLOCK,N Division Av,06/17/2009,Weeds/Grass,Owner Abated,06/25/2009,Not Available,False,0.0,"1200 N Division Av
Urbana, IL
(40.1238473, -88.205255036)",40.1238473,-88.205255036
2775,1503005,03/11/2015,2015,3,200 BLOCK,E Oregon St,03/11/2015,Municipal Waste,Owner Abated,03/19/2015,Not Available,False,0.0,"200 E Oregon St
Urbana, IL
(40.107687284, -88.206105062)",40.107687284,-88.206105062
2776,807053,07/29/2008,2008,7,100 BLOCK,Scottswood Dr,07/30/2008,Weeds/Grass,Owner Abated,08/07/2008,Not Available,False,0.0,"100 Scottswood Dr
Urbana, IL
(40.112827809, -88.174792087)",40.112827809,-88.174792087
2778,1503018,03/23/2015,2015,3,1700 BLOCK,E Hunter St,03/23/2015,Municipal Waste,Owner Abated,03/31/2015,Not Available,False,0.0,"1700 E Hunter St
Urbana, IL
(40.103887306, -88.18651505)",40.103887306,-88.18651505
2779,903034,03/16/2009,2009,3,700 BLOCK,W California Av,03/17/2009,Weeds/Grass,Owner Abated,03/25/2009,Not Available,False,0.0,"700 W California Av
Urbana, IL
(40.108356404, -88.216066042)",40.108356404,-88.216066042
2781,22-002239,07/12/2022,2022,7,300 Block,West Locust Street,07/12/2022,Municipal Waste,Voluntarily Complied,07/20/2022,Phone,False,0.0,"300 West Locust Street
Urbana, IL
(40.113590547, -88.210400448)",40.113590547,-88.210400448
2783,23-001316,05/15/2023,2023,5,1400 Block,South Ogelthorpe Avenue,05/15/2023,Weeds/Grass,Voluntarily Complied,05/23/2023,Phone,False,0.0,"1400 South Ogelthorpe Avenue
Urbana, IL
(40.101793302, -88.174854293)",40.101793302,-88.174854293
2784,1111019,11/30/2011,2011,11,1100 BLOCK,W Pennsylvania Av,11/30/2011,Municipal Waste,City Abated,12/02/2011,Not Available,False,0.0,"1100 W Pennsylvania Av
Urbana, IL
(40.100696711, -88.222925629)",40.100696711,-88.222925629
2785,707050,07/23/2007,2007,7,1200 BLOCK,W Hill St,07/24/2007,Weeds/Grass,Owner Abated,08/01/2007,Not Available,False,0.0,"1200 W Hill St
Urbana, IL
(40.119396844, -88.224145499)",40.119396844,-88.224145499
2786,21-001818,08/11/2021,2021,8,1200 Block,South Busey Avenue,08/11/2021,Municipal Waste,Voluntarily Complied,08/19/2021,Phone,False,0.0,"1200 South Busey Avenue
Urbana, IL
(40.102733683, -88.217533856)",40.102733683,-88.217533856
2787,1405030,05/14/2014,2014,5,400 BLOCK,W Green St,05/14/2014,Weeds/Grass,Owner Abated,05/22/2014,Not Available,False,0.0,"400 W Green St
Urbana, IL
(40.110765647, -88.211857023)",40.110765647,-88.211857023
2788,805006,05/05/2008,2008,5,500 BLOCK,S Cottage Grove Av,05/06/2008,Weeds/Grass,Owner Abated,05/14/2008,Not Available,False,0.0,"500 S Cottage Grove Av
Urbana, IL
(40.109334311, -88.19563304)",40.109334311,-88.19563304
2790,23-000276,02/07/2023,2023,2,800 Block,West Oregon Street,02/07/2023,Municipal Waste,Voluntarily Complied,02/15/2023,Phone,False,0.0,"800 West Oregon Street
Urbana, IL
(40.107485366, -88.217757378)",40.107485366,-88.217757378
2791,23-001215,05/10/2023,2023,5,400 Block,South McCullough Street,05/10/2023,Weeds/Grass,City Abated,08/30/2023,Phone,False,710.0,"400 South McCullough Street
Urbana, IL
(40.10981368, -88.213073874)",40.10981368,-88.213073874
2792,1110035,10/31/2011,2011,10,1400 BLOCK,E Briarcliff Dr,10/31/2011,Weeds/Grass,Owner Abated,11/08/2011,Not Available,False,0.0,"1400 E Briarcliff Dr
Urbana, IL
(40.100155838, -88.192007072)",40.100155838,-88.192007072
2793,812007,12/10/2008,2008,12,300 BLOCK,S Race St,12/11/2008,Weeds/Grass,Owner Abated,12/19/2008,Not Available,False,0.0,"300 S Race St
Urbana, IL
(40.110703755, -88.208833697)",40.110703755,-88.208833697
2794,1505095,05/26/2015,2015,5,2000 BLOCK,E Trails Dr,05/26/2015,Weeds/Grass,Owner Abated,06/03/2015,Not Available,False,0.0,"2000 E Trails Dr
Urbana, IL
(40.076980147, -88.181359025)",40.076980147,-88.181359025
2796,21-000743,04/14/2021,2021,4,2300 Block,"East ""Country Squire"" Drive",04/14/2021,Municipal Waste,Voluntarily Complied,05/12/2021,Phone,False,0.0,"2300 East Country Squire Drive
Urbana, IL
(40.103259889, -88.177509554)",40.103259889,-88.177509554
2797,1010028,10/12/2010,2010,10,800 BLOCK,N Wright St,10/13/2010,Weeds/Grass,Owner Abated,10/21/2010,Not Available,False,0.0,"800 N Wright St
Urbana, IL
(40.119368209, -88.22872625)",40.119368209,-88.22872625
2798,18-036092,10/01/2018,2018,10,400 Block,West Green Street,10/01/2018,Weeds/Grass,Voluntarily Complied,10/09/2018,Email,False,0.0,"400 West Green Street
Urbana, IL
(40.110765647, -88.211857023)",40.110765647,-88.211857023
2799,1112015,12/20/2011,2011,12,1500 BLOCK,S Montgomery St,12/20/2011,Municipal Waste,Owner Abated,12/28/2011,Not Available,False,0.0,"1500 S Montgomery St
Urbana, IL
(40.099997097, -88.173709564)",40.099997097,-88.173709564
2800,708087,08/27/2007,2007,8,900 BLOCK,W Hill St,08/28/2007,Weeds/Grass,Owner Abated,09/05/2007,Not Available,False,0.0,"900 W Hill St
Urbana, IL
(40.119257286, -88.219504929)",40.119257286,-88.219504929
2801,1005119,05/25/2010,2010,5,400 BLOCK,W Elm St,05/26/2010,Municipal Waste,Owner Abated,06/03/2010,Not Available,False,0.0,"400 W Elm St
Urbana, IL
(40.111606751, -88.211865599)",40.111606751,-88.211865599
2803,1304021,04/30/2013,2013,4,1000 BLOCK,E Colorado Av,04/30/2013,Municipal Waste,Owner Abated,05/08/2013,Not Available,False,0.0,"1000 E Colorado Av
Urbana, IL
(40.094783586, -88.195935012)",40.094783586,-88.195935012
2806,1408093,08/25/2014,2014,8,1700 BLOCK,E Michigan Av,08/25/2014,Weeds/Grass,Owner Abated,09/02/2014,Not Available,False,0.0,"1700 E Michigan Av
Urbana, IL
(40.101768095, -88.186456157)",40.101768095,-88.186456157
2809,1408073,08/20/2014,2014,8,600 BLOCK,W Nevada St,08/20/2014,Municipal Waste,Owner Abated,08/28/2014,Not Available,False,0.0,"600 W Nevada St
Urbana, IL
(40.1065971, -88.214575049)",40.1065971,-88.214575049
2810,18-000570,05/25/2018,2018,5,3200 Block,"W ""Fawn Hill"" Court",05/25/2018,Weeds/Grass,Voluntarily Complied,06/04/2018,Email,False,0.0,"3200 W Fawn Hill Court
Urbana, IL
(40.077832129, -88.189615872)",40.077832129,-88.189615872
2811,709061,09/25/2007,2007,9,1600 BLOCK,Ivanhoe Way,09/28/2007,Municipal Waste,Owner Abated,10/06/2007,Not Available,False,0.0,"1600 Ivanhoe Way
Urbana, IL
(40.102304581, -88.18864421)",40.102304581,-88.18864421
2812,22-001228,05/16/2022,2022,5,1700 Block,"South ""Cottage Grove"" Avenue",05/16/2022,Weeds/Grass,Voluntarily Complied,05/24/2022,Phone,False,0.0,"1700 South Cottage Grove Avenue
Urbana, IL
(40.098327346, -88.195469463)",40.098327346,-88.195469463
2813,1408088,08/25/2014,2014,8,600 BLOCK,S Johnson Av,08/25/2014,Weeds/Grass,Owner Abated,09/02/2014,Not Available,False,0.0,"600 S Johnson Av
Urbana, IL
(40.108492155, -88.196715774)",40.108492155,-88.196715774
2817,23-002455,08/22/2023,2023,8,700 Block,West Stoughton Street,08/22/2023,Weeds/Grass,Voluntarily Complied,08/30/2023,Phone,False,0.0,"700 West Stoughton Street
Urbana, IL
(40.113226834, -88.216059848)",40.113226834,-88.216059848
2819,1505087,05/20/2015,2015,5,1000 BLOCK,S Rainbow View Dr,05/20/2015,Weeds/Grass,Owner Abated,05/28/2015,Not Available,False,0.0,"1000 S Rainbow View Dr
Urbana, IL
(40.104913928, -88.184643554)",40.104913928,-88.184643554
2821,1206011,06/06/2012,2012,6,1300 BLOCK,E Green St,06/07/2012,Weeds/Grass,Owner Abated,06/14/2012,Not Available,False,0.0,"1300 E Green St
Urbana, IL
(40.111017992, -88.193305986)",40.111017992,-88.193305986
